,Player ID,Player,Total Runs Scored,Batting Avg,Batting Strike Rate,Total Centuries,Total Half Centuries,4s,6s,Total Wickets Taken,Best Bowling Figures,Bowling Avg,Best Economy Rate,Bowling Strike Rate,Total Matches Played,Total Dismissals Made,Total Catches Taken,Total Stumpings Made,Batting Hand,Bowling Arm,Bowling Style
140,140,S Kaul,1,0.50,33.33,0,0,0,0,0,-,-,6.62,-,3.0,1.0,1.0,0.0,Right Hand,Right Arm,Pace Bowler
141,141,NV Ojha,1,1.00,14.28,0,0,0,0,-,-,-,-,-,1.0,1.0,0.0,1.0,Right Hand,Unknown Arm,Mixed
142,142,R Sharma,1,1.00,50.00,0,0,0,0,6,3/43,29.50,5.15,34.3,4.0,1.0,1.0,0.0,Right Hand,Right Arm,Spin Bowler
143,143,S Tyagi,1,-,50.00,0,0,0,0,3,1/15,48.00,5.23,55.0,4.0,1.0,1.0,0.0,Right Hand,Right Arm,Pace Bowler
144,144,A Bhandari,0,-,-,0,0,0,0,5,3/31,21.20,6.0,21.2,2.0,0.0,0.0,0.0,Right Hand,Right Arm,Pace Bowler
145,145,T Natarajan,0,-,-,0,0,0,0,3,2/70,47.66,7.15,40.0,2.0,0.0,0.0,0.0,Left Hand,Left Arm,Pace Bowler
146,146,AM Nayar,0,-,0.00,0,0,0,0,0,-,-,5.66,-,3.0,0.0,0.0,0.0,Left Hand,Right Arm,Pace Bowler
147,147,Shahbaz Ahmed,0,0.00,0.00,0,0,0,0,3,2/32,41.66,4.8,52.0,3.0,1.0,1.0,0.0,Left Hand,Left Arm,Spin Bowler
148,148,C Sakariya,0,-,0.00,0,0,0,0,2,2/34,17.00,4.25,24.0,1.0,2.0,2.0,0.0,Left Hand,Left Arm,Pace Bowler
149,149,R Vijay Bharadwaj,0,0.00,0.00,0,0,0,0,1,1/32,32.00,8.0,24.0,1.0,1.0,1.0,0.0,Right Hand,Right Arm,Spin Bowler
150,150,MS Gony,-,-,-,-,-,-,-,2,2/65,38.00,5.84,39.0,2.0,0.0,0.0,0.0,Right Hand,Right Arm,Pace Bowler
151,151,AR Kapoor,-,-,-,-,-,-,-,0,-,-,4.64,-,2.0,0.0,0.0,0.0,Right Hand,Right Arm,Spin Bowler
152,152,Parvez Rasool,-,-,-,-,-,-,-,2,2/60,30.00,6.0,30.0,1.0,0.0,0.0,0.0,Right Hand,Right Arm,Spin Bowler
153,153,KV Sharma,-,-,-,-,-,-,-,0,-,-,6.57,-,2.0,3.0,3.0,0.0,Left Hand,Right Arm,Spin Bowler
154,154,BB Sran,-,-,-,-,-,-,-,7,3/56,38.42,5.34,43.1,6.0,1.0,1.0,0.0,Left Hand,Left Arm,Pace Bowler
155,155,JD Unadkat,-,-,-,-,-,-,-,9,4/41,25.00,3.94,38.0,8.0,1.0,1.0,0.0,Right Hand,Left Arm,Pace Bowler
